part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,E,E,,4,480,quarter,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,F,F,,4,40,32nd,False,False,False,False
P1,1,E,E,,4,40,32nd,False,False,False,False
P1,1,D#,D,1,4,40,32nd,False,False,False,False
P1,1,E,E,,4,120,16th,False,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,B,B,,3,240,eighth,False,False,False,False
P1,1,E,E,,4,240,eighth,False,False,False,False
P1,1,C,C,,4,480,quarter,False,False,False,False
P1,1,,,,,960,whole,False,True,False,False
P1,1,G#,G,1,1,240,eighth,False,False,False,False
P1,1,G#,G,1,2,240,eighth,False,False,False,False
P1,1,B,B,,1,240,eighth,False,False,False,False
P1,1,B,B,,2,240,eighth,False,False,False,False
P1,1,A,A,,1,480,quarter,False,False,False,False
P1,1,A,A,,2,480,quarter,False,False,False,False
P1,2,G#,G,1,4,360,eighth,True,False,False,False
P1,2,B,B,,4,60,32nd,False,False,False,False
P1,2,A,A,,4,60,32nd,False,False,False,False
P1,2,A,A,,4,240,eighth,False,False,False,False
P1,2,C,C,,5,240,eighth,False,False,False,False
P1,2,E,E,,5,240,eighth,False,False,False,False
P1,2,E,E,,4,480,quarter,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,E,E,,4,240,eighth,False,False,False,False
P1,2,,,,,960,whole,False,True,False,False
P1,2,B,B,,1,240,eighth,False,False,False,False
P1,2,B,B,,2,240,eighth,False,False,False,False
P1,2,D,D,,2,240,eighth,False,False,False,False
P1,2,D,D,,3,240,eighth,False,False,False,False
P1,2,C,C,,2,240,eighth,False,False,False,False
P1,2,C,C,,3,240,eighth,False,False,False,False
P1,2,A,A,,1,240,eighth,False,False,False,False
P1,2,A,A,,2,240,eighth,False,False,False,False
P1,3,E,E,,5,240,eighth,False,False,False,False
P1,3,D,D,,5,120,16th,False,False,False,False
P1,3,C#,C,1,5,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,D,D,,5,240,eighth,False,False,False,False
P1,3,F,F,,5,240,eighth,False,False,False,False
P1,3,F,F,,4,120,16th,False,False,False,False
P1,3,Bb,B,-1,4,120,16th,False,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,E,E,,4,240,eighth,False,False,False,False
P1,3,D,D,,4,120,16th,False,False,False,False
P1,3,E,E,,4,120,16th,False,False,False,False
P1,3,F,F,,4,240,eighth,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,Bb,B,-1,3,120,16th,False,False,False,False
P1,3,C,C,,4,120,16th,False,False,False,False
P1,3,A,A,,4,240,eighth,False,False,False,False
P1,3,A,A,,4,120,16th,False,False,False,False
P1,3,G,G,,4,120,16th,False,False,False,False
P1,3,,,,,480,quarter,False,True,False,False
P1,3,F,F,,2,360,eighth,True,False,False,False
P1,3,F,F,,3,360,eighth,True,False,False,False
P1,3,E,E,,2,120,16th,False,False,False,False
P1,3,E,E,,3,120,16th,False,False,False,False
P1,3,D,D,,2,360,eighth,True,False,False,False
P1,3,D,D,,3,360,eighth,True,False,False,False
P1,3,C,C,,2,120,16th,False,False,False,False
P1,3,C,C,,3,120,16th,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,G#,G,1,4,240,eighth,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,B,B,,4,240,eighth,False,False,False,False
P1,4,D,D,,4,240,eighth,False,False,False,False
P1,4,C,C,,4,240,eighth,False,False,False,False
P1,4,E,E,,4,240,eighth,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G#,G,1,4,120,16th,False,False,False,False
P1,4,G,G,,4,120,16th,False,False,False,False
P1,4,,,,,480,quarter,False,True,False,False
P1,4,E,E,,4,480,quarter,False,False,False,False
P1,4,B,B,,1,240,eighth,False,False,False,False
P1,4,B,B,,2,240,eighth,False,False,False,False
P1,4,A,A,,1,240,eighth,False,False,False,False
P1,4,A,A,,2,240,eighth,False,False,False,False
P1,4,E,E,,2,480,quarter,False,False,False,False
P1,5,E,E,,4,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,B,B,,4,240,eighth,False,False,False,False
P1,5,F,F,,4,240,eighth,False,False,False,False
P1,5,B,B,,4,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,E,E,,5,240,eighth,False,False,False,False
P1,5,G,G,,5,240,eighth,False,False,False,False
P1,5,C,C,,6,240,eighth,False,False,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,5,,,,,960,whole,False,True,False,False
P1,5,E,E,,2,240,eighth,False,False,False,False
P1,5,E,E,,3,240,eighth,False,False,False,False
P1,5,D,D,,2,240,eighth,False,False,False,False
P1,5,D,D,,3,240,eighth,False,False,False,False
P1,5,C,C,,2,240,eighth,False,False,False,False
P1,5,C,C,,3,240,eighth,False,False,False,False
P1,5,Bb,B,-1,1,240,eighth,False,False,False,False
P1,5,Bb,B,-1,2,240,eighth,False,False,False,False
P1,6,C,C,,5,240,eighth,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,C,C,,6,240,eighth,False,False,False,False
P1,6,F,F,,5,240,eighth,False,False,False,False
P1,6,C,C,,6,240,eighth,False,False,False,False
P1,6,F,F,,6,240,eighth,False,False,False,False
P1,6,F,F,,5,360,eighth,True,False,False,False
P1,6,B,B,,5,360,eighth,True,False,False,False
P1,6,D,D,,6,360,eighth,True,False,False,False
P1,6,F,F,,6,360,eighth,True,False,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,,,,,960,whole,False,True,False,False
P1,6,,,,,480,quarter,False,True,False,False
P1,6,,,,,240,eighth,False,True,False,False
P1,6,,,,,120,16th,False,True,False,False
P1,6,D,D,,3,120,16th,False,False,False,False
P1,6,F,F,,3,120,16th,False,False,False,False
P1,6,B,B,,3,120,16th,False,False,False,False
P1,6,A,A,,1,240,eighth,False,False,False,False
P1,6,A,A,,2,240,eighth,False,False,False,False
P1,6,Ab,A,-1,1,240,eighth,False,False,False,False
P1,6,Ab,A,-1,2,240,eighth,False,False,False,False
P1,6,G,G,,1,480,quarter,False,False,False,False
P1,6,G,G,,2,480,quarter,False,False,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,7,,,,,960,whole,False,True,False,False
P1,7,D,D,,3,240,eighth,False,False,False,False
P1,7,F,F,,3,240,eighth,False,False,False,False
P1,7,B,B,,3,240,eighth,False,False,False,False
P1,7,E,E,,3,240,eighth,False,False,False,False
P1,7,G,G,,3,240,eighth,False,False,False,False
P1,7,C#,C,1,4,240,eighth,False,False,False,False
P1,7,F,F,,3,240,eighth,False,False,False,False
P1,7,A,A,,3,240,eighth,False,False,False,False
P1,7,D,D,,4,240,eighth,False,False,False,False
P1,7,G,G,,3,120,16th,False,False,False,False
P1,7,C,C,,4,120,16th,False,False,False,False
P1,7,G,G,,3,120,16th,False,False,False,False
P1,7,B,B,,3,120,16th,False,False,False,False
P1,7,G,G,,1,720,quarter,True,False,False,False
P1,7,G,G,,2,720,quarter,True,False,False,False
P1,7,G,G,,2,120,16th,False,False,False,False
P1,7,E,E,,3,120,16th,False,False,False,False
