part,measure,pitch,step,alter,octave,duration,type,dotted,rest,grace,cue
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,C,C,,5,120,16th,False,False,False,False
P1,1,B,B,,4,120,16th,False,False,False,False
P1,1,C,C,,5,240,eighth,False,False,False,False
P1,1,G,G,,4,240,eighth,False,False,False,False
P1,1,E,E,,5,480,quarter,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,D,D,,5,120,16th,False,False,False,False
P1,2,C,C,,5,120,16th,False,False,False,False
P1,2,D,D,,5,240,eighth,False,False,False,False
P1,2,G,G,,4,240,eighth,False,False,False,False
P1,2,F,F,,5,480,quarter,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,C,C,,6,120,16th,False,False,False,False
P1,3,B,B,,5,120,16th,False,False,False,False
P1,3,B,B,,5,120,16th,False,False,False,False
P1,3,A,A,,5,120,16th,False,False,False,False
P1,3,A,A,,5,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,G,G,,5,120,16th,False,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,3,F,F,,5,120,16th,False,False,False,False
P1,3,E,E,,5,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,E,E,,5,120,16th,False,False,False,False
P1,4,D,D,,5,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,C,C,,5,120,16th,False,False,False,False
P1,4,B,B,,4,120,16th,False,False,False,False
P1,4,A,A,,4,120,16th,False,False,False,False
P1,4,G,G,,4,480,quarter,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,D,D,,5,,16th,False,False,True,False
P1,5,C,C,,5,120,16th,False,False,False,False
P1,5,B,B,,4,120,16th,False,False,False,False
P1,5,C,C,,5,240,eighth,False,False,False,False
P1,5,G,G,,4,240,eighth,False,False,False,False
P1,5,E,E,,5,480,quarter,False,False,False,False
P1,6,D,D,,5,240,eighth,False,False,False,False
P1,6,E,E,,5,,16th,False,False,True,False
P1,6,D,D,,5,120,16th,False,False,False,False
